"Account Configuration","Configuración de la cuenta"
"Warehouses","Almacenes"
"Warehouse","Almacén"
"Qty in warehouse","Cantidad física"
"Qty to ship","Cantidad por enviar"
"Available Qty","Cantidad disponible"
"Shelf location","Ubicación"
"Mass Stock Editor","Edición de los stocks en masa"
"Stock Helper","Asistente stock"
"Stock Movements","Movimiento de stock"
"Stock Transfers","Traspasos de stock"
"Stock Transfer","Traspaso de stock"
"Warehouses Routing","Expedición"
"Changes saved.","Modificaciones registradas"
"Avg per week","Ventas por semana"
"Run out (days)","Ruptura (en días)"
"Warning stock level","Umbral de alerta"
"Ideal stock level","Stock ideal"
"Qty to order","Cantidad por pedir"
"Shipped for<br>last %1 weeks","Ventas en %1 semanas"
"Comments","Comentarios"
"From warehouse","Almacén origen"
"To warehouse","Almacén objetivo"
"Create new Stock Transfer","Nuevo traspaso de stock"
"Transfer","Traspaso"
"Edit Stock Transfer %1","Edición de traspaso %1"
"Qty transfered","Cantidad traspasada"
"Source location","Ubicación origen"
"Target location","Ubicación objetivo"
"Qty to transfer","Cantidad por transferir"
"Transfer successfully saved","Modificaciones registradas"
"Stock Transfer # %1","Traspaso %1"
"Status : %1","Estatuto: %1"
"Created at : %1","Fecha de creación: %1"
"From warehouse : %1","Almacén origen"
"To warehouse : %1","Almacén objetivo: %1"
"Receive Stock  Transfer %1","Recepción del traspaso %1"
"Fill all quantities","Transferir todo"
"Products received :","Productos recibidos"
"Products left to receive :","Productos por recibir"
"Products over received :","Sobre-recepción"
"Barcode scan enabled","En espera del scan"
"Qty received","Cantidad recibida"
"Qty to receive","Cantidad por recibir"
"Qty pending","Cantidad a la espera"
"Qty ordered","Cantidad pedida"
"Reception saved.","Recepción registrada"
"Display on front","Indicar en la página web"
"Primary","Principal"
"Add New Warehouse","Nuevo almacén"
"New Warehouse","Nuevo almacén"
"Edit Warehouse '%1'","Editar el almacén %1"
"Use for supply needs","Utilizar para las necesidades de provisión"
"Open hours","Horas de apertura"
"Company name","Sociedad"
"Street 1","Dirección 1"
"Street 2","Dirección 2"
"Postcode","Código postal"
"State / Region","Comunidad"
"Save Warehouse","Guardar"
"Warehouse Information","Detalles"
"You saved the warehouse.","Modificaciones registradas"
"Orders to ship","Pedidos por enviar"
"Delete Warehouse","Suprimir"
"Qty available","Cantidad disponible"
"You deleted the warehouse.","Almacén suprimido"
"Shipping warehouse selection","Regla de selección del almacén de expedición"
"Use for sales","Disponible a la venta"
"Use for shipment","Disponible para enviar"
"Configuration successfully saved","Configuración registrada"
"Use configuration from ","Usar la configuración de "
"Always priority one","Usar el almacén en prioridad 1"
"Warehouse with stock","Usar los almacenes que tienen stock"
"Barcode attribute","Atributo código de barra"
"Pending orders","Pedidos a la espera"
"Pending order statuses","Estatuto de los pedidos a la espera"
"Stock levels","Niveles de stock"
"Default value for Warning stock level","Valor por defecto para un umbral de alerta"
"Default value for Ideal stock level","Valor por defecto para un umbral ideal"
"Weeks for sales history range #1","Número de semanas para las estadísticas de venta (1)"
"Weeks for sales history range #2","Número de semanas para las estadísticas de venta (2)"
"Weeks for sales history range #3","Número de semanas para las estadísticas de venta (3)"
"Frontend","Página web"
"Display stocks","Mostrar los stocks"
"Stock discrepencies","Errores de stocks"
"Stock discrepencies report","Informe errores de stock"
"Inventory Management","Gestión de stock"
"Quantity to ship","Cantidad por enviar"
"Quantity reserved","Cantidad reservada"
"Changes successfully saved","Modificaciones registradas"
"Qty on hand","Cantidad en stock"
"On hand","En stock"
"Available","Disponible"
"Warning<br>Stock level","Umbral<br>de alerta"
"Ideal<br>Stock level","Stock<br>ideal"
"To ship","Por enviar"
"Period","Periodo"
"Qty shipped","Cantidad enviada"
"Qty invoiced","Cantidad facturada"
"Sales History","Historial de ventas"
"New Stock Movement","Nuevo movimiento de stock"
"Stock movements","Movimientos de stock"
"Qty reserved","Cantidad reservada"
"Shipping warehouse","Almacén"
"Avg sales per week","Ventas por semana"
"Figures","Datos"
"Skus in stock","Skus en stock"
"Total products","Productos en total"
"Total value","Valor global"
"Stock Take","Inventario"
"Stock Takes","Inventarios"
"Label","Intitulado"
"Manager","Administrador"
"Status","Estado"
"New Stock Take","Crear un nuevo inventario"
"Create new Stock Take","Crear un nuevo inventario"
"Use bin locations","Usar las ubicaciones"
"Product Selection","Selección de productos"
"Stock Take successfully saved","Inventario registrado"
"Scan Products","Escanear los productos"
"Created at","Fecha de creación"
"Apply","Aplicar"
"Products","Productos"
"Add Products","Agregar productos"
"Locationt","Ubicación"
"Scanned Qty","Cantidad escaneada"
"Qty","Cantidad "
"Not Scanned","No escaneada"
"Match","Correspondiente"
"Expected Qty","Cantidad esperada"
"Print","Imprimir"
"Delete","Suprimir"
"Save","Guardar"
"Different","Diferente"
"Edit Stock Take %1","Edición de inventario %1"
"Scan successfully processed","Scan guardado"
"missing","falta"
"over","en exceso"
"Barcode scan enabled","Lector código de barra activado"
"Unknown barcode","Código de barra desconocido"
"scanned","escaneado"
"Location","Ubicación"
"Apply Stock Take","Aplicar el inventario"
"Stock Movement message","Movimiento en stock"
"Create stock movements","Crear movimientos de stock"
"Return to stock (Credit Memo #%1)","Devolver en stock (Abono  #%1)"
"Disable logs","Desactivar los logs"
"Barcode","Código barra"
"Children products","Productos infantiles"
"Backorder qty","Cantidad en espera cliente"
"Download","Descargar"
"Stock movement created.","Movimiento de stock creado"
"Stock settings per website","Ajustes para páginas web"
"Index status","Estado de indexación"
"Qty sellable","Cantidad para vender"
"Users","Usuarios"
"Warehouse to decrease","Almacén para disminuir"
"Warehouse to increase","Almacén para aumentar"
"Reserved","Reservado"
"Creditmemo","Reembolso"
"Adjustment","Ajuste"
"Defective","Defectuoso"
"Product return","Devolución"
"Add products with scanner","Agregar productos"
"<b>- Expected qty :</b> Magento qty when the stock take was created","<b>- Cantidad esperada :</b> Cantidad en Magento cuando el inventario fue creado, para el almacén asociado al inventario."
"<b>- Scanned qty :</b> Qty already scanned through this stock take","<b>- Cantidad escaneada:</b> Cantidad ya escaneada durante el inventario actual"
"<b>- Qty :</b> Qty scanned through the current scan. This qty will be added to the Scanned qty once the current scan has been saved.","<b>- Cantidad :</b> Cantidad ya escaneada durante el scan actual. Esta cantidad será agregada cuando el scan actual será guardado."
"Stock allocation","Asignación del stock"
"Allocate stock from order","Asignar el stock del pedido"
"to order","hacia el pedido"
"-- Select order --","Seleccionar el pedido"
"Stock allocation successfully processed : %1 items moved","Asignación del stock realizado: %1 unidades desplazadas"
"Quantities have been successfully updated","Stocks puesto al día"
"Full","Completo"
"Full mode will set to 0 every products not scanned","En modo completo, los productos no escaneados serán reiniciados"
