"Account Configuration","Configuración de la cuenta"
"ERP - Products","ERP - Productos"
"Expected PO","Pedidos proveedor"
"Switch to Magento view","Vista Magento"
"Product details","Detalles"
"Product details saved.","Modificaciones guardadas"
"No barcode attribute configured","Ningún atributo código de barra configurado"
"No attribute configured","Atributo no configurado"
"Package number","Número de paquetes"
"Set product as discontinued","Definir parar a si"
"Set product as not discontinued","Definir parar a no"
"Discontinued status updated","Estado parado puesto al día"
"Do you really want to delete these products ? This operation can not be rollbacked","Deseas suprimir estos productos? Esta operación no puede ser anulada"
"%1 products deleted","%1 productos suprimidos"
