"ERP - Products","ERP - Produits"
"Expected PO","Commandes fournisseur"
"Switch to Magento view","Vue Magento"
"Product details","Détails"
"Product details saved.","Modifications enregistrées"
"No barcode attribute configured","Aucun attribut code barre configuré"
"No attribute configured","Attribut non configuré"
"Package number","Nombre de colis"
"Set product as discontinued","Définir arrêté à oui"
"Set product as not discontinued","Définir arrêté à non"
"Discontinued status updated","Statut arrêté mis à jour"
"Do you really want to delete these products ? This operation can not be rollbacked","Souhaitez vous vraiment supprimer ces produits ? Cette opération ne peux pas être annulée"
"%1 products deleted","%1 produits supprimés"
