"Add New","Nouveau"
"Author","Auteur"
"Assigned to","Assigné à"
"Object type","Entité"
"Object description","Description"
"Due date","Date prévue"
"Last notified at","Date de notification"
"Category name","Catégorie"
"Task saved","Sauvegardé"
"Manage Organizer","Gérer les Organizer"
"There is no assignee assign to this task.","Personne n'est assigné à cette tâche"
"Purchase Order","Commande fournisseur"
"Supplier Invoice","Facture fournisseur"
"Related object","Appliqué à"
"Save and Notify","Enregistrer et notifier"
"Email notification","Notification"
"Categories","Catégories"
"Priorities","Priorités"
"Print organizers","Afficher les organizers"

