"Account Configuration","Configuración de la cuenta"
"Suppliers","Proveedores"
"Purchase orders","Pedidos proveedores"
"Purchase Orders","Pedidos proveedores"
"Opened Purchase Orders","Órdenes de compras abiertas"
"Supplier","Proveedor"
"ETA","Fecha prevista"
"Qty","Cant."
"Order #","Pedido"
"PO #","Pedido"
"Buying price","Precio de compra"
"Buying price with costs","Coste completo"
"Associated","Asociado"
"Supplier sku","Sku proveedor"
"Is Primary","¿Principal?"
"Supplier Stock","Stock proveedor"
"Suppliers management","Proveedores"
"Products in transit","Productos en espera de entrega"
"Supply Needs","Necesidades de abastecimiento"
"Product / Supplier association","Asociaciones productos proveedores"
"Manager","Responsable"
"Delivery progress","Entrega en curso"
"Grand total","Total"
"Invoice Status","Facturación"
"Create new Purchase Order","Nuevo pedido proveedor"
"Undefined","Indefinido"
"To pay","A pagar"
"Draft","Borrador"
"draft","Borrador"
"Pending internal approval","A validar"
"Pending supplier confirmation","confirmar por el proveedor"
"Expected","Previsto"
"New Purchase Order","Nuevo pedido proveedor"
"Please select the supplier for this new purchase order: ","Seleccionar el proveedor"
"This order total is below the supplier minimum of order (%1).","El total de este pedido no llega al mínimo requerido"
"This order total is below the supplier carrier free (%1).","Este pedido no alcanza ....."
"Estimated time of arrival","Fecha de entrega prevista"
"To create the new purchase order  fill the estimated time of arrival and save  then you will be able to add products.","Para crear tu nuevo pedido, rellena la fecha de entrega prevista "
"Created at","Fecha de creación"
"Updated at","Fecha de actualización"
"Warehouse for receiving","Almacén de recepción"
"Private Comments","Comentarios privados"
"Public Comments","Comentarios públicos"
"Displayed on PDF","Mostrar en el PDF enviado al proveedor"
"Miscellaneous","Variado"
"Change rate","Tasa de cambio"
"Shipping cost","gastos de envío"
"Additional cost","gastos adicionales"
"Tax rate %","% de tasa"
"Shipping method","Método de envío"
"Tracking #","No de seguimiento"
"Accounting","contabilidad"
"Supplier PO #","No de pedido proveedor"
"Supplier Invoice #","No de factura proveedor"
"Invoice date","Fecha de facturación"
"Payment date","Fecha de pago"
"You saved the order.","Modificaciones guardadas"
"Notify","Notificar"
"Receive","Recibir"
"Edit Purchase Order %1 for %2 (%3)","Editar el pedido proveedor %1 de %2 (%3)"
"Update product costs","Actualizar los costes del producto"
"Products received","Productos recibidos"
"Supplier Sku","Sku proveedor"
"Qty Received","Cant. recibida"
"Buying price (%1)","Precio de compra (%1)"
"Receive Purchase Order %1","Recepción pedido %1"
"Qty expected","Cant. prevista"
"Related PO","Pedidos proveedor"
"Qty for backorders","Cant. para pedidos en ruptura de stock"
"Qty for low stock","Cant para stock bajo"
"Suggested Qty to order","Cant a comprar sugerida "
"Waiting for reception","En espera de entrega"
"Fill with min qty","Rellenar con cant. mini"
"Fill with max qty","Rellenar con cant. maxi"
"Create a new Purchase Order","Crear un pedido proveedor"
"Order created.","Pedido creado"
"Opened PO","Pedidos en espera"
"Add New Supplier","Nuevo proveedor"
"New Supplier","Nuevo proveedor"
"Supplier Information","Información proveedor"
"Minimum of order","Pedido mínimo"
"Carriage Free Amount","Envio gratuito"
"Shipping delay","Plazo de entrega"
"Payment terms","Condiciones de pago"
"Shipping instructions","Instrucciones de entrega"
"Aftersales","posventa"
"Save Supplier","Guardar"
"You saved the supplier.","Modificaciones guardadas"
"Edit Supplier '%1'","Edición proveedor %1"
"Delete Supplier","Eliminar"
"You deleted the supplier.","Proveedor eliminado"
"Import suppliers","Importar proveedores"
"Import file","Importar"
"Associate to supplier","Asociar al proveedor"
"Mass edit","Edición en masa"
"Purchase Order Product","Productos de los pedidos proveedores"
"Default buying price","Precio de compra por defecto"
"Landing costs distribution","Repartición de los costes de distribución"
"Update product cost","Actualizar el coste del producto"
"Require product/supplier association","Requerir la asociación producto/proveedor"
"Enable custom ETA at product level","Activar la fecha de entrega a nivel producto"
"Billing address","Dirección de facturación"
"Ship to address","Dirección de entrega"
"Purchase order","Pedido proveedor"
"Email Sender for supplier notification","Remitente"
"Email template for supplier notification","Template"
"Procurement","Suministro"
"This order has MOQ issue  please check product list for more details.","Algunos productos no alcanzan el MOQ, por favor consulta la lista de productos para más detalles"
"Supply delay","Plazo de suministro"
"Settings","Configuración"
"Supplier Invoices","Facturas proveedores"
"Subtotal (%1)","Subtotal (%1)"
"Discount %","Descuento %"
"Enable discount","Activar los descuentos"
"Show margin column","Mostrar los márgenes"
"Margins","Márgenes"
"Disable logs","Desactivar los logs"
"Shelf location attribute","Atributo ubicación"
"Manufacturer attribute","Atributo fabricante"
"Enable pack quantity","Activar la gestión de packs"
"Supplier Sku","Ref. proveedor"
"Location","Ubicación"
"Supplier: %1","Proveedor: %1"
"Purchase order: %1","Pedido proveedor %1"
"Reception date: %1","Fecha de entrega: %1"
"Received by: %1","Recibido por: %1"
"Products count: %1","Número de productos: %1"
"Assign new barcode to product","Asociar un código de barras a un producto"
"Barcode to assign","Código de barras a asignar"
"Assign","Asignar"
"Total invoiced","Total facturado"
"Missing prices","Precios faltantes"
"Associate to a supplier","Asociar un proveedor"
"Associated supplier(s)","Proveedores asociados"
"MOQ","Cant. min"
"Supplier SKU","Sku proveedor"
"Last buying price","Último precio de compra"
"Show last buying price","Mostrar el último precio de compra"
"Currency","Moneda"
"No supplier available for association","Ningún proveedor para asociar"
"Qty Ordered","Cant."
"Select store to use custom settings for PDF","Selecciona Store para personalizar el PDF"
"Use expected status to update supply needs and products in transit. Expected status informs that this PO will be received.","Sólo el estado en espera pone al día las necesidades de abastecimiento y productos en espera de recepción. Usar este estado cuando el pedido será enviado."
"Stock details","Stocks"
"Restrict list to associated products","Limitar los productos a los asociados al proveedor"
"Product / Supplier","Producto / Proveedor"
"Pack qty","Pack cant."
"Supplier Payments","Pagos proveedores"
"Payment method","Método"
"Payment amount","Importe"
"Supplier invoice #","Factura proveedor #"
"Qty to receive","Cant. a recibir"
"Create a new Purchase Order","Crear un nuevo pedido"
"Add Products","Añadir productos"
"New Supplier Invoice","Nueva factura proveedor"
"Balance due","importe adeudado"
"Total to apply","Importe "
"Attachment","Archivo adjunto"
"Supplier Invoice %1 for %2","Factura proveedor %1 para %2"
"Link order","Asociar un pedido"
"Related orders","Pedidos asociados"
"Supplier reference","Ref. proveedor"
"Amount applied","Importe aplicado"
"Add payment","Añadir un pago"
"Warning  this invoice is not totally applied.","¡Aviso! Esta factura no está totalmente aplicada"
"You saved the invoice.","Modificaciones guardadas"
"There is no purchase order exist for this supplier.","Ningún pedido asociado"
"Total paid","Total pagado"
"Total Applied to this PO","Importe aplicado a este pedido"
"Fill all quantities","Rellenar todas la cantidades"
"Products left to receive","Productos pendientes por recibir"
"Products over received","En recepción"
"Qty ordered","Cant. solicitada"
"Qty received","Cant. recibida"
"Qty pending","Cant. Restante"
"Global discount %","Descuento global %"
"Applies on subtotal before taxes","Se aplica al subtotal antes de las tasas"
"Shipping & additional","Transporte"
"Estimated delivery : %1","Fecha de entrega estimada: %1"
"Payment terms : %1","Condiciones de pago: %1"
"Supplier order # : %1","Referencia proveedor: %1"
"Manager : %1","Responsable: %1"
"Supplier : %1","Proveedor : %1"
"Purchase Order # %1","Pedido proveedor %1"
"Bill to :","Facturar a:"
"Ship to :","Enviar a:"
"Verified","Comprobado"
"Supply needs","Necesidades"
"Order before","Fecha límite de compra"
"Supply + shipping delay","Plazo de entrega + envío"
"Notification settings","Configuración de notificaciones"
"Send email notification","Notificar por email"
"Attach PDF","Adjuntar el PDF"
"Attach File","Adjuntar el archivo"
"File settings","Configuración del archivo"
"File header","Encabezado de archivo"
"Order header","Encabezado de pedido"
"Product line","Línea de producto"
"Order footer","Pie de pedido"
"File footer","Pie de documento"
"Codes available","Códigos disponibles"
"Sample value","Ejemplo de valor"
"Supplier notified.","Proveedor notificado"
"Invoices","Facturas"
"There is no purchase order expected for this product","Ningún pedido de compra disponible para este producto"
"Costs","Costes"
"Separate emails with comma","Emails separados por comas"
"Discontinued","Cancelado"
"Invoice successfully created,  please complete invoice details below","Nueva factura creada, por favor completa la información de la siguiente factura"
"Create new invoice","Crear una factura"
"Shiping label PDF","PDF etiqueta transportista"
"Download shipping label","Descargar la etiqueta"
"Add shipping label","Añadir una etiqueta"
"This purchase order no longer exists.","Este pedido proveedor no existe"
"Purchase order #","Ref. pedido proveedor"
"Lead time","Plazo "
"Purchase order created","Pedido creado"
"Purchase order updated","Pedido actualizado"
"Supplier notified","Proveedor notificado"
"Separate emails with comma","Separar los emails con comas"
"Please apply supplier OR sku filter to get the list","Por favor, aplica un filtro proveedor o sku para mostrar la lista"
"Supplier code","código proveedor"
"Order date : %1","Fecha del pedido : %1"
"Taxes","IVA"
"Subtotal","Importe bruto"
"Cantidad","Und"
